Galatasaray,34,25,7,2,90,30,+60,82
Beşiktaş,34,22,8,4,88,26,+62,74
Fenerbahçe,34,22,7,5,79,25,+54,73
Trabzonspor,34,22,6,6,73,33,+40,72
Bursaspor,34,17,8,9,55,37,+18,59
İstanbulspor,34,16,7,11,56,44,+12,55
Kocaelispor,34,12,12,10,37,35,+2,48
Gaziantepspor,34,13,8,13,38,50,-12,47
Samsunspor,34,12,9,13,49,52,-3,45
Antalyaspor,34,13,6,15,38,49,-11,45
Gençlerbirliği,34,11,6,17,37,49,-12,39
MKE Ankaragücü,34,10,8,16,39,52,-13,38
Vanspor,34,10,7,17,31,50,-19,37
Altay,34,9,10,15,30,60,-30,37
Ç. Dardanel,34,10,6,18,35,65,-30,36
Sarıyer,34,9,7,18,41,54,-13,34
Denizlispor,34,5,5,24,36,81,-45,20
Zeytinburnu,34,2,5,27,26,86,-60,11
