Milan,38,24,10,4,65,24,+41,82
Inter,38,23,7,8,69,42,+27,76
Napoli,38,21,7,10,59,39,+20,70
Udinese,38,20,6,12,65,43,+22,66
Lazio,38,20,6,12,55,39,+16,66
Roma,38,18,9,11,59,52,+7,63
Juventus,38,15,13,10,57,47,+10,58
Palermo,38,17,5,16,58,63,-5,56
Fiorentina,38,12,15,11,49,44,+5,51
Genoa,38,14,9,15,45,47,-2,51
Chievo,38,11,13,14,38,40,-2,46
Parma,38,11,13,14,39,47,-8,46
Catania,38,12,10,16,40,52,-12,46
Cagliari,38,12,9,17,44,51,-7,45
Cesena,38,11,10,17,38,50,-12,43
Bologna,38,11,12,15,35,52,-17,42
Lecce,38,11,8,19,46,66,-20,41
Sampdoria,38,8,12,18,33,49,-16,36
Brescia,38,7,11,20,34,52,-18,32
Bari 1908,38,5,9,24,27,56,-29,24
