Juventus,34,21,11,2,67,28,+39,74
Inter,34,21,6,7,62,27,+35,69
Udinese,34,19,7,8,62,40,+22,64
Roma,34,16,11,7,67,42,+25,59
Fiorentina,34,15,12,7,65,36,+29,57
Parma,34,15,12,7,55,39,+16,57
Lazio,34,16,8,10,53,30,+23,56
Bologna,34,12,12,10,55,46,+9,48
Sampdoria,34,13,9,12,52,55,-3,48
Milan,34,11,11,12,37,43,-6,44
Bari 1908,34,10,8,16,30,45,-15,38
Empoli,34,10,7,17,50,58,-8,37
Piacenza,34,7,16,11,29,38,-9,37
Vicenza,34,9,9,16,36,61,-25,36
Brescia,34,9,8,17,45,63,-18,35
Atalanta,34,7,11,16,25,48,-23,32
Lecce,34,6,8,20,32,72,-40,26
Napoli,34,2,8,24,25,76,-51,14
