Milan,34,25,7,2,65,24,+41,82
Roma,34,21,8,5,68,19,+49,71
Juventus,34,21,6,7,67,42,+25,69
Inter,34,17,8,9,59,37,+22,59
Parma,34,16,10,8,57,46,+11,58
Lazio,34,16,8,10,52,38,+14,56
Udinese,34,13,11,10,44,40,+4,50
Sampdoria,34,11,13,10,40,42,-2,46
Chievo,34,11,11,12,36,37,-1,44
Lecce,34,11,8,15,43,56,-13,41
Brescia,34,9,13,12,52,57,-5,40
Bologna,34,10,9,15,45,53,-8,39
Siena,34,8,10,16,41,54,-13,34
Reggina,34,6,16,12,29,45,-16,34
Perugia,34,6,14,14,44,56,-12,32
Modena,34,6,12,16,27,46,-19,30
Empoli,34,7,9,18,26,54,-28,30
AC Ancona,34,2,7,25,21,70,-49,13
