Paris SG,38,30,6,2,102,19,+83,96
Lyon,38,19,8,11,67,43,+24,65
Monaco,38,17,14,7,57,50,+7,65
Nice,38,18,9,11,58,41,+17,63
Lille,38,15,15,8,39,27,+12,60
Saint-Etienne,38,17,7,14,42,37,+5,58
Caen,38,16,6,16,39,52,-13,54
Rennes,38,13,13,12,52,54,-2,52
Angers,38,13,11,14,40,38,+2,50
Bastia,38,14,8,16,36,42,-6,50
Bordeaux,38,12,14,12,50,57,-7,50
Montpellier,38,14,7,17,49,47,+2,49
Marsilya,38,10,18,10,48,42,+6,48
Nantes,38,12,12,14,33,44,-11,48
Lorient,38,11,13,14,47,58,-11,46
Guingamp,38,11,11,16,47,56,-9,44
Toulouse,38,9,13,16,45,55,-10,40
Reims,38,10,9,19,44,57,-13,39
Gazelec,38,8,13,17,37,58,-21,37
Troyes,38,3,9,26,28,83,-55,18
