Lyon,38,24,9,5,64,27,+37,81
Marsilya,38,19,7,12,53,38,+15,64
Toulouse,38,17,7,14,44,43,+1,58
Rennes,38,14,15,9,38,30,+8,57
Lens,38,15,12,11,47,41,+6,57
Bordeaux,38,16,9,13,39,35,+4,57
Sochaux,38,15,12,11,46,48,-2,57
Auxerre,38,13,15,10,41,41,0,54
Monaco,38,13,12,13,45,38,+7,51
Lille,38,13,11,14,45,43,+2,50
Saint-Etienne,38,14,7,17,52,50,+2,49
Le Mans,38,11,16,11,45,46,-1,49
Nancy,38,13,10,15,37,44,-7,49
Lorient,38,12,13,13,33,40,-7,49
Paris SG,38,12,12,14,42,42,0,48
Nice,38,9,16,13,34,40,-6,43
Valenciennes,38,11,10,17,36,48,-12,43
Troyes,38,9,12,17,39,54,-15,39
Sedan,38,7,14,17,46,58,-12,35
Nantes,38,7,13,18,29,49,-20,34
