Marsilya,38,23,9,6,69,36,+33,78
Lyon,38,20,12,6,64,38,+26,72
Auxerre,38,20,11,7,42,29,+13,71
Lille,38,21,7,10,72,40,+32,70
Montpellier,38,20,9,9,50,40,+10,69
Bordeaux,38,19,7,12,58,40,+18,64
Lorient,38,16,10,12,54,42,+12,58
Monaco,38,15,10,13,39,45,-6,55
Rennes,38,14,11,13,52,41,+11,53
Valenciennes,38,14,10,14,50,50,0,52
Lens,38,12,12,14,40,44,-4,48
Nancy,38,13,9,16,46,53,-7,48
Paris SG,38,12,11,15,50,46,+4,47
Toulouse,38,12,11,15,36,36,0,47
Nice,38,11,11,16,41,57,-16,44
Sochaux,38,11,8,19,28,52,-24,41
Saint-Etienne,38,10,10,18,27,45,-18,40
Le Mans,38,8,8,22,36,59,-23,32
Boulogne,38,7,10,21,31,62,-31,31
Grenoble,38,5,8,25,31,61,-30,23
