Lille,38,24,11,3,64,23,+41,83
Paris SG,38,26,4,8,86,28,+58,82
Monaco,38,24,6,8,76,42,+34,78
Lyon,38,22,10,6,81,43,+38,76
Marsilya,38,16,12,10,54,47,+7,60
Rennes,38,16,10,12,52,40,+12,58
Lens,38,15,12,11,55,54,+1,57
Montpellier,38,14,12,12,60,62,-2,54
Nice,38,15,7,16,50,53,-3,52
Metz,38,12,11,15,44,48,-4,47
Saint-Etienne,38,12,10,16,42,54,-12,46
Bordeaux,38,13,6,19,42,56,-14,45
Angers,38,12,8,18,40,58,-18,44
Reims,38,9,15,14,42,50,-8,42
RC Strasbourg,38,11,9,18,49,58,-9,42
Lorient,38,11,9,18,50,68,-18,42
Brest,38,11,8,19,50,66,-16,41
Nantes,38,9,13,16,47,55,-8,40
Nimes,38,9,8,21,40,71,-31,35
Dijon,38,4,9,25,25,73,-48,21
