Monaco,38,30,5,3,107,31,+76,95
Paris SG,38,27,6,5,83,27,+56,87
Nice,38,22,12,4,63,36,+27,78
Lyon,38,21,4,13,77,48,+29,67
Marsilya,38,17,11,10,57,41,+16,62
Bordeaux,38,15,14,9,53,43,+10,59
Nantes,38,14,9,15,40,54,-14,51
Rennes,38,12,14,12,36,42,-6,50
Saint-Etienne,38,12,14,12,41,42,-1,50
Guingamp,38,14,8,16,46,53,-7,50
Angers,38,13,7,18,40,49,-9,46
Lille,38,13,7,18,40,47,-7,46
Toulouse,38,10,14,14,37,41,-4,44
Metz,38,11,10,17,39,72,-33,43
Montpellier,38,10,9,19,48,66,-18,39
Dijon,38,8,13,17,46,58,-12,37
Caen,38,10,7,21,36,65,-29,37
Lorient,38,10,6,22,44,70,-26,36
Nancy,38,9,8,21,29,52,-23,35
Bastia,38,8,10,20,29,54,-25,34
