Lyon,38,22,13,3,56,22,+34,79
Lille,38,18,13,7,52,29,+23,67
Monaco,38,15,18,5,52,35,+17,63
Rennes,38,15,10,13,49,42,+7,55
Marsilya,38,15,10,13,47,42,+5,55
Saint-Etienne,38,12,17,9,47,34,+13,53
Lens,38,13,13,12,45,39,+6,52
Auxerre,38,14,10,14,48,47,+1,52
Paris SG,38,12,15,11,40,41,-1,51
Sochaux,38,13,11,14,42,41,+1,50
RC Strasbourg,38,12,12,14,42,43,-1,48
Nice,38,10,16,12,38,45,-7,46
Toulouse,38,12,10,16,36,43,-7,46
Ajaccio,38,10,15,13,36,40,-4,45
Bordeaux,38,8,20,10,37,41,-4,44
Metz,38,10,14,14,33,45,-12,44
Nantes,38,10,13,15,33,38,-5,43
Caen,38,10,12,16,36,60,-24,42
Bastia,38,11,8,19,32,48,-16,41
Istres,38,6,14,18,25,51,-26,32
