Lyon,38,24,7,7,64,26,+38,79
Paris SG,38,22,10,6,50,28,+22,76
Monaco,38,21,12,5,59,30,+29,75
Auxerre,38,19,8,11,60,34,+26,65
Sochaux,38,18,9,11,54,42,+12,63
Nantes,38,17,9,12,47,35,+12,60
Marsilya,38,17,6,15,51,45,+6,57
Lens,38,15,8,15,34,48,-14,53
Rennes,38,14,10,14,56,44,+12,52
Lille,38,14,9,15,41,41,0,51
Nice,38,11,17,10,42,39,+3,50
Bordeaux,38,13,11,14,40,43,-3,50
RC Strasbourg,38,10,13,15,43,50,-7,43
Metz,38,11,9,18,34,42,-8,42
Ajaccio,38,10,10,18,33,55,-22,40
Toulouse,38,9,12,17,31,44,-13,39
Bastia,38,9,12,17,33,49,-16,39
Guingamp,38,10,8,20,36,58,-22,38
Le Mans,38,9,11,18,35,57,-22,38
Montpellier,38,8,7,23,41,74,-33,31
