Lyon,38,19,11,8,63,41,+22,68
Monaco,38,19,10,9,66,33,+33,67
Marsilya,38,19,8,11,41,36,+5,65
Bordeaux,38,18,10,10,57,36,+21,64
Sochaux,38,17,13,8,46,31,+15,64
Auxerre,38,18,10,10,38,29,+9,64
Guingamp,38,19,5,14,59,46,+13,62
Lens,38,14,15,9,43,31,+12,57
Nantes,38,16,8,14,37,39,-2,56
Nice,38,13,16,9,39,31,+8,55
Paris SG,38,14,12,12,47,36,+11,54
Bastia,38,12,11,15,40,48,-8,47
RC Strasbourg,38,11,12,15,40,54,-14,45
Lille,38,10,12,16,29,44,-15,42
Rennes,38,10,10,18,35,45,-10,40
Montpellier,38,10,10,18,37,54,-17,40
Ajaccio,38,9,12,17,29,49,-20,39
Le Havre,38,10,8,20,27,47,-20,38
Sedan,38,9,9,20,41,59,-18,36
Troyes,38,7,10,21,23,48,-25,31
