Man United,38,28,6,4,68,24,+44,90
Liverpool,38,25,11,2,77,27,+50,86
Chelsea,38,25,8,5,68,24,+44,83
Arsenal,38,20,12,6,68,37,+31,72
Everton,38,17,12,9,55,37,+18,63
Aston Villa,38,17,11,10,54,48,+6,62
Fulham,38,14,11,13,39,34,+5,53
Tottenham,38,14,9,15,45,45,0,51
West Ham,38,14,9,15,42,45,-3,51
Man City,38,15,5,18,58,50,+8,50
Wigan Athletic,38,12,9,17,34,45,-11,45
Stoke City,38,12,9,17,38,55,-17,45
Bolton,38,11,8,19,41,53,-12,41
Portsmouth,38,10,11,17,38,57,-19,41
Blackburn,38,10,11,17,40,60,-20,41
Sunderland,38,9,9,20,34,54,-20,36
Hull City,38,8,11,19,39,64,-25,35
Newcastle,38,7,13,18,40,59,-19,34
Middlesbrough,38,7,11,20,28,57,-29,32
West Bromwich,38,8,8,22,36,67,-31,32
