Man United,38,28,7,3,97,45,+52,91
Arsenal,38,22,7,9,73,43,+30,73
Leeds United,38,21,6,11,58,43,+15,69
Liverpool,38,19,10,9,51,30,+21,67
Chelsea,38,18,11,9,53,34,+19,65
Aston Villa,38,15,13,10,46,35,+11,58
Sunderland,38,16,10,12,57,56,+1,58
Leicester,38,16,7,15,55,55,0,55
West Ham,38,15,10,13,52,53,-1,55
Tottenham,38,15,8,15,57,49,+8,53
Newcastle,38,14,10,14,63,54,+9,52
Middlesbrough,38,14,10,14,46,52,-6,52
Everton,38,12,14,12,59,49,+10,50
Coventry,38,12,8,18,47,54,-7,44
Southampton,38,12,8,18,45,62,-17,44
Derby County,38,9,11,18,44,57,-13,38
Bradford,38,9,9,20,38,68,-30,36
Wimbledon,38,7,12,19,46,74,-28,33
Sheff Wed,38,8,7,23,38,70,-32,31
Watford,38,6,6,26,35,77,-42,24
