Man United,38,21,12,5,76,44,+32,75
Newcastle,38,19,11,8,73,40,+33,68
Arsenal,38,19,11,8,62,32,+30,68
Liverpool,38,19,11,8,62,37,+25,68
Aston Villa,38,17,10,11,47,34,+13,61
Chelsea,38,16,11,11,58,55,+3,59
Sheff Wed,38,14,15,9,50,51,-1,57
Wimbledon,38,15,11,12,49,46,+3,56
Leicester,38,12,11,15,46,54,-8,47
Tottenham,38,13,7,18,44,51,-7,46
Leeds United,38,11,13,14,28,38,-10,46
Derby County,38,11,13,14,45,58,-13,46
Blackburn,38,9,15,14,42,43,-1,42
West Ham,38,10,12,16,39,48,-9,42
Everton,38,10,12,16,44,57,-13,42
Southampton,38,10,11,17,50,56,-6,41
Coventry,38,9,14,15,38,54,-16,41
Sunderland,38,10,10,18,35,53,-18,40
Middlesbrough,38,10,12,16,51,60,-9,39
Not. Forest,38,6,16,16,31,59,-28,34
