Ajax,34,25,5,4,79,31,+48,80
PSV Eindhoven,34,23,5,6,92,30,+62,74
Feyenoord,34,20,8,6,71,38,+33,68
Heerenveen,34,17,7,10,45,35,+10,58
AZ Alkmaar,34,17,6,11,65,42,+23,57
Roda,34,14,11,9,60,41,+19,53
Willem II,34,13,10,11,47,54,-7,49
Twente,34,15,3,16,56,53,+3,48
NAC Breda,34,12,10,12,58,55,+3,46
Utrecht,34,13,7,14,42,52,-10,46
RKC Waalwijk,34,10,10,14,47,55,-8,40
RBC,34,10,10,14,34,47,-13,40
Groningen,34,9,10,15,38,53,-15,37
NEC Nijmegen,34,10,4,20,44,62,-18,34
Den Haag,34,9,7,18,36,61,-25,34
Vitesse,34,4,16,14,39,56,-17,28
Volendam,34,7,6,21,31,79,-48,27
PEC Zwolle,34,5,11,18,27,67,-40,26
