PSV Eindhoven,34,24,5,5,90,26,+64,77
Feyenoord,34,22,7,5,67,34,+33,73
Twente,34,20,5,9,60,33,+27,65
Ajax,34,17,10,7,55,31,+24,61
Vitesse,34,15,10,9,53,41,+12,55
Roda,34,16,7,11,56,47,+9,55
Heerenveen,34,13,11,10,58,47,+11,50
De Graafschap,34,13,6,15,52,55,-3,45
NAC Breda,34,10,10,14,41,54,-13,40
Groningen,34,9,12,13,43,56,-13,39
F. Sittard,34,9,12,13,36,52,-16,39
Utrecht,34,8,14,12,42,52,-10,38
Sp. Rotterdam,34,11,5,18,40,56,-16,38
Volendam,34,9,11,14,36,55,-19,38
Willem II,34,9,8,17,34,51,-17,35
RKC Waalwijk,34,9,7,18,39,61,-22,34
NEC Nijmegen,34,7,11,16,35,61,-26,32
AZ Alkmaar,34,6,7,21,27,52,-25,25
