PSV Eindhoven,34,27,6,1,89,18,+71,87
Ajax,34,24,5,5,74,33,+41,77
AZ Alkmaar,34,19,7,8,71,41,+30,64
Feyenoord,34,19,5,10,90,51,+39,62
Heerenveen,34,18,6,10,64,52,+12,60
Twente,34,15,9,10,48,38,+10,54
Vitesse,34,16,6,12,53,49,+4,54
Roda,34,13,8,13,60,55,+5,47
RKC Waalwijk,34,13,8,13,44,51,-7,47
Willem II,34,13,6,15,44,56,-12,45
Utrecht,34,12,8,14,40,43,-3,44
Groningen,34,11,7,16,50,58,-8,40
NEC Nijmegen,34,9,10,15,41,47,-6,37
Den Haag,34,10,6,18,44,59,-15,36
NAC Breda,34,9,8,17,43,67,-24,35
RBC,34,10,2,22,38,77,-39,32
De Graafschap,34,4,7,23,32,78,-46,19
Den Bosch,34,5,4,25,23,75,-52,19
