Ajax,34,28,2,4,119,32,+87,86
PSV Eindhoven,34,26,5,3,98,26,+72,83
Feyenoord,34,20,5,9,75,41,+34,65
AZ Alkmaar,34,17,7,10,64,43,+21,58
Vitesse,34,14,11,9,70,51,+19,53
Utrecht,34,15,8,11,60,51,+9,53
Heracles,34,15,3,16,61,68,-7,48
Groningen,34,13,6,15,39,41,-2,45
Den Haag,34,12,9,13,58,63,-5,45
Willem II,34,13,5,16,58,72,-14,44
Heerenveen,34,10,11,13,64,73,-9,41
VVV Venlo,34,11,8,15,47,63,-16,41
PEC Zwolle,34,11,6,17,44,57,-13,39
Emmen,34,10,8,16,41,72,-31,38
F. Sittard,34,9,7,18,50,80,-30,34
Excelsior,34,9,6,19,46,79,-33,33
De Graafschap,34,8,5,21,38,75,-37,29
NAC Breda,34,5,8,21,29,74,-45,23
