PSV Eindhoven,34,26,6,2,88,32,+56,84
Ajax,34,25,7,2,81,21,+60,82
Feyenoord,34,19,6,9,62,40,+22,63
AZ Alkmaar,34,18,5,11,70,53,+17,59
Utrecht,34,15,8,11,57,48,+9,53
Heracles,34,14,9,11,47,49,-2,51
Groningen,34,14,8,12,41,48,-7,50
PEC Zwolle,34,14,6,14,56,54,+2,48
Vitesse,34,12,10,12,55,38,+17,46
NEC Nijmegen,34,13,7,14,37,42,-5,46
Den Haag,34,10,13,11,48,49,-1,43
Heerenveen,34,11,9,14,46,61,-15,42
Twente,34,12,7,15,49,64,-15,40
Roda,34,8,10,16,34,55,-21,34
Excelsior,34,7,9,18,34,60,-26,30
Willem II,34,6,11,17,35,53,-18,29
De Graafschap,34,5,8,21,39,66,-27,23
Cambuur,34,3,9,22,33,79,-46,18
