Ajax,34,22,10,2,83,31,+52,76
PSV Eindhoven,34,22,3,9,103,43,+60,69
Feyenoord,34,21,6,7,64,38,+26,69
Vitesse,34,19,7,8,68,42,+26,64
Utrecht,34,19,6,9,55,41,+14,63
Twente,34,17,11,6,60,33,+27,62
Groningen,34,12,7,15,36,53,-17,43
Heerenveen,34,11,9,14,50,63,-13,42
Den Haag,34,9,13,12,49,63,-14,40
AZ Alkmaar,34,10,9,15,56,54,+2,39
PEC Zwolle,34,10,9,15,42,55,-13,39
Heracles,34,9,11,14,58,71,-13,38
NAC Breda,34,10,8,16,40,56,-16,38
RKC Waalwijk,34,9,10,15,39,48,-9,37
NEC Nijmegen,34,10,7,17,44,66,-22,37
Roda,34,7,12,15,51,69,-18,33
VVV Venlo,34,6,10,18,33,62,-29,28
Willem II,34,5,8,21,33,76,-43,23
