Ajax,34,28,4,2,102,23,+79,88
PSV Eindhoven,34,21,9,4,74,35,+39,72
AZ Alkmaar,34,21,8,5,75,41,+34,71
Vitesse,34,18,7,9,52,38,+14,61
Feyenoord,34,16,11,7,64,36,+28,59
Utrecht,34,13,14,7,52,41,+11,53
Groningen,34,14,8,12,40,37,+3,50
Sp. Rotterdam,34,13,8,13,49,48,+1,47
Heracles,34,12,8,14,42,53,-11,44
Twente,34,10,11,13,48,50,-2,41
F. Sittard,34,12,5,17,50,58,-8,41
Heerenveen,34,9,12,13,43,49,-6,39
PEC Zwolle,34,9,11,14,44,53,-9,38
Willem II,34,8,7,19,40,68,-28,31
RKC Waalwijk,34,7,9,18,33,55,-22,30
Emmen,34,7,9,18,40,68,-28,30
VVV Venlo,34,6,5,23,43,91,-48,23
Den Haag,34,4,10,20,29,76,-47,22
