Feyenoord,34,25,5,4,76,38,+38,80
Willem II,34,20,5,9,69,46,+23,65
PSV Eindhoven,34,17,10,7,87,55,+32,61
Vitesse,34,18,7,9,61,44,+17,61
Roda,34,17,9,8,59,40,+19,60
Ajax,34,16,9,9,73,41,+32,57
Heerenveen,34,14,12,8,53,41,+12,54
Twente,34,13,13,8,51,45,+6,52
AZ Alkmaar,34,12,12,10,52,60,-8,48
F. Sittard,34,12,8,14,49,56,-7,44
NEC Nijmegen,34,10,9,15,42,56,-14,39
Utrecht,34,10,8,16,54,64,-10,38
De Graafschap,34,8,12,14,40,57,-17,36
MVV Maastricht,34,7,11,16,42,63,-21,32
Cambuur,34,7,11,16,37,64,-27,32
RKC Waalwijk,34,6,9,19,41,62,-21,27
Sp. Rotterdam,34,7,5,22,37,71,-34,26
NAC Breda,34,4,11,19,41,61,-20,23
