Valencia,38,23,8,7,71,27,+44,77
Barcelona,38,21,9,8,63,39,+24,72
Deportivo,38,21,8,9,60,34,+26,71
Real Madrid,38,21,7,10,72,54,+18,70
Ath. Bilbao,38,15,11,12,53,49,+4,56
Sevilla,38,15,10,13,56,45,+11,55
Atl. Madrid,38,15,10,13,51,53,-2,55
Villarreal,38,15,9,14,47,49,-2,54
Real Betis,38,13,13,12,46,43,+3,52
Malaga,38,15,6,17,50,55,-5,51
Mallorca,38,15,6,17,54,66,-12,51
Zaragoza,38,13,9,16,46,55,-9,48
Osasuna,38,11,15,12,38,37,+1,48
Albacete,38,13,8,17,40,48,-8,47
Real Sociedad,38,11,13,14,49,53,-4,46
Espanyol,38,13,4,21,48,64,-16,43
R. Santander,38,11,10,17,48,63,-15,42
Valladolid,38,10,11,17,46,56,-10,41
Celta Vigo,38,9,12,17,48,68,-20,39
Murcia,38,5,11,22,29,57,-28,26
