Barcelona,38,24,7,7,87,43,+44,79
Real Madrid,38,21,5,12,77,62,+15,68
Mallorca,38,20,6,12,48,31,+17,66
Valencia,38,19,8,11,63,39,+24,65
Celta Vigo,38,17,13,8,69,41,+28,64
Deportivo,38,17,12,9,55,43,+12,63
Espanyol,38,16,13,9,49,38,+11,61
Ath. Bilbao,38,17,9,12,53,47,+6,60
Zaragoza,38,16,9,13,57,46,+11,57
Real Sociedad,38,14,12,12,47,43,+4,54
Real Betis,38,14,7,17,47,58,-11,49
Valladolid,38,13,9,16,35,44,-9,48
Atl. Madrid,38,12,10,16,54,50,+4,46
Real Oviedo,38,11,12,15,41,57,-16,45
R. Santander,38,10,12,16,41,53,-12,42
Alaves,38,11,7,20,36,63,-27,40
CF Extremadura,38,9,12,17,27,53,-26,39
Villarreal,38,8,12,18,47,63,-16,36
Tenerife,38,7,13,18,41,63,-22,34
Salamanca,38,7,6,25,29,66,-37,27
