Real Madrid,38,27,4,7,84,36,+48,85
Villarreal,38,24,5,9,63,40,+23,77
Barcelona,38,19,10,9,76,43,+33,67
Atl. Madrid,38,19,7,12,66,47,+19,64
Sevilla,38,20,4,14,75,49,+26,64
R. Santander,38,17,9,12,42,41,+1,60
Mallorca,38,15,14,9,69,54,+15,59
Almeria,38,14,10,14,42,45,-3,52
Deportivo,38,15,7,16,46,47,-1,52
Valencia,38,15,6,17,48,62,-14,51
Ath. Bilbao,38,13,11,14,40,43,-3,50
Espanyol,38,13,9,16,43,53,-10,48
Real Betis,38,12,11,15,45,51,-6,47
Getafe,38,12,11,15,44,48,-4,47
Valladolid,38,11,12,15,42,57,-15,45
Huelva,38,11,11,16,40,60,-20,44
Osasuna,38,12,7,19,37,44,-7,43
Zaragoza,38,10,12,16,50,61,-11,42
Murcia,38,7,9,22,36,65,-29,30
Levante,38,7,5,26,33,75,-42,26
